bin_index,bin_from,bin_to,interpolation,interval_type
1,37.5,42.5,40,1202
2,42.5,47.5,45,1202
3,47.5,52.5,50,1202
4,52.5,57.5,55,1202
5,57.5,62.5,60,1202
6,62.5,67.5,65,1202
7,67.5,72.5,70,1202
8,72.5,77.5,75,1202
9,77.5,82.5,80,1202
10,82.5,87.5,85,1202
11,87.5,92.5,90,1202
12,92.5,97.5,95,1202
13,97.5,102.5,100,1202
14,102.5,107.5,105,1202
15,107.5,112.5,110,1202
16,112.5,117.5,115,1202
17,117.5,122.5,120,1202
18,122.5,127.5,125,1202
19,127.5,132.5,130,1202
20,132.5,137.5,135,1202
21,137.5,142.5,140,1202
22,142.5,147.5,145,1202
23,147.5,152.5,150,1202
24,152.5,157.5,155,1202
25,157.5,162.5,160,1202
26,162.5,167.5,165,1202
27,167.5,172.5,170,1202
28,172.5,177.5,175,1202
29,177.5,182.5,180,1202
30,182.5,187.5,185,1202
31,187.5,192.5,190,1202
32,192.5,197.5,195,1202
33,197.5,202.5,200,1202
